2026-01-13 21:35:15.521 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-13 21:35:15.522 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
2026-01-13 21:35:15.523 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
2026-01-13 21:35:15.523 | INFO     | ReportEngine.flask_interface:initialize_report_engine:32 - Report Engine初始化成功
2026-01-14 08:17:24.356 | INFO     | __main__:stop_forum_engine:350 - ForumEngine: 停止论坛...
2026-01-14 08:17:24.994 | INFO     | ForumEngine.monitor:monitor_logs:702 - ForumEngine: 停止论坛日志文件
2026-01-14 10:56:41.782 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-14 10:56:41.797 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
2026-01-14 10:56:41.798 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
2026-01-14 10:56:41.798 | INFO     | ReportEngine.flask_interface:initialize_report_engine:32 - Report Engine初始化成功
2026-01-14 11:12:00.687 | INFO     | __main__:<module>:1041 - 
正在关闭应用...
2026-01-14 11:12:00.940 | INFO     | __main__:stop_forum_engine:335 - ForumEngine: 停止论坛...
2026-01-14 11:12:01.648 | INFO     | ForumEngine.monitor:monitor_logs:702 - ForumEngine: 停止论坛日志文件
2026-01-14 11:12:01.649 | INFO     | ForumEngine.monitor:stop_monitoring:740 - ForumEngine: 论坛已停止
2026-01-14 11:12:01.649 | INFO     | __main__:stop_forum_engine:337 - ForumEngine: 论坛已停止
2026-01-14 11:21:22.291 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-14 11:21:22.291 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
2026-01-14 11:21:22.291 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
2026-01-14 11:21:22.293 | INFO     | ReportEngine.flask_interface:initialize_report_engine:32 - Report Engine初始化成功
2026-01-14 11:27:16.140 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-14 11:27:16.142 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
2026-01-14 11:27:16.142 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
2026-01-14 11:27:16.142 | INFO     | ReportEngine.flask_interface:initialize_report_engine:32 - Report Engine初始化成功
2026-01-14 11:32:25.800 | INFO     | __main__:stop_forum_engine:352 - ForumEngine: 停止论坛...
2026-01-14 11:32:25.976 | INFO     | ForumEngine.monitor:monitor_logs:702 - ForumEngine: 停止论坛日志文件
2026-01-14 11:32:25.976 | INFO     | ForumEngine.monitor:stop_monitoring:740 - ForumEngine: 论坛已停止
2026-01-14 11:32:25.976 | INFO     | __main__:stop_forum_engine:354 - ForumEngine: 论坛已停止
2026-01-14 11:34:19.488 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-14 11:34:19.489 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
2026-01-14 11:34:19.489 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
2026-01-14 11:34:19.489 | INFO     | ReportEngine.flask_interface:initialize_report_engine:32 - Report Engine初始化成功
2026-01-14 11:37:27.213 | INFO     | __main__:stop_forum_engine:352 - ForumEngine: 停止论坛...
2026-01-14 11:37:27.276 | INFO     | ForumEngine.monitor:monitor_logs:702 - ForumEngine: 停止论坛日志文件
2026-01-14 11:37:27.277 | INFO     | ForumEngine.monitor:stop_monitoring:740 - ForumEngine: 论坛已停止
2026-01-14 11:37:27.277 | INFO     | __main__:stop_forum_engine:354 - ForumEngine: 论坛已停止
2026-01-14 11:38:38.504 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-14 11:38:38.506 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
